,Genre,Total,Netflix,Hulu,Prime Video,Disney+
0,Drama,7227,1501,438,5437,162
1,Comedy,4637,1308,272,3004,281
2,Thriller,3354,652,221,2632,16
3,Action,2683,545,129,2049,88
4,Documentary,2546,511,132,1895,63
5,Romance,2359,551,151,1691,78
6,Horror,2201,266,124,1878,9
7,Crime,1833,372,100,1423,24
8,Adventure,1778,318,111,1166,258
9,Family,1514,315,105,721,430
10,Mystery,1274,252,86,983,21
11,Sci-Fi,1228,194,86,907,88
12,Fantasy,1089,258,77,635,176
13,Biography,821,199,58,569,18
14,History,715,132,38,552,16
15,Animation,711,222,75,296,146
16,Music,667,132,36,487,33
17,War,539,87,25,446,4
18,Western,499,25,25,450,16
19,Sport,404,110,27,246,39
