,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
472,472,Lab Rats,2012,7+,6.6,,1,0,0,1,1
516,516,America's Funniest Home Videos,1989,7+,6.2,,1,1,0,1,1
563,563,Brain Games,2011,7+,8.3,,1,0,0,1,1
591,591,Jessie,2011,all,5.9,,1,0,0,1,1
846,846,PJ Masks,2015,all,5.6,,1,0,0,1,1
944,944,Best Friends Whenever,2015,all,5.5,,1,0,0,1,1
1935,1935,The Simpsons,1989,7+,8.7,85%,0,1,0,1,1
1948,1948,Gravity Falls,2012,7+,8.9,100%,0,1,0,1,1
2034,2034,Marvel's Runaways,2017,16+,7.0,87%,0,1,0,1,1
2174,2174,Star vs. the Forces of Evil,2015,7+,8.0,,0,1,0,1,1
2265,2265,X-Men: Evolution,2000,7+,7.9,,0,1,0,1,1
2268,2268,Good Luck Charlie,2010,all,7.0,,0,1,0,1,1
2410,2410,K.C. Undercover,2015,all,6.1,,0,1,0,1,1
2411,2411,Doug,1991,all,7.4,,0,1,0,1,1
2422,2422,Life Below Zero,2013,7+,8.0,,0,1,0,1,1
2458,2458,Running Wild with Bear Grylls,2014,7+,7.7,,0,1,0,1,1
2477,2477,The Incredible Dr. Pol,2011,7+,8.6,,0,1,0,1,1
2680,2680,Doc McStuffins,2012,all,6.7,,0,1,0,1,1
2832,2832,Handy Manny,2006,all,5.5,,0,1,0,1,1
3051,3051,Sheriff Callie's Wild West,2013,all,6.4,,0,1,0,1,1
3121,3121,Henry Hugglemonster,2013,all,5.2,,0,1,0,1,1
3197,3197,Holiday Magic,2017,,7.0,,0,1,0,1,1
3252,3252,Out There with Jack Randall,2019,,6.9,,0,1,0,1,1
3367,3367,Lost Treasures of Egypt,2019,,,,0,1,0,1,1
5455,5455,The Mandalorian,2019,7+,8.7,93%,0,0,0,1,1
5456,5456,Star Wars: The Clone Wars,2008,7+,8.2,93%,0,0,0,1,1
5457,5457,Marvel's Agent Carter,2015,7+,7.9,86%,0,0,0,1,1
5458,5458,Star Wars Rebels,2014,7+,8.0,100%,0,0,0,1,1
5459,5459,DuckTales,2017,7+,8.2,100%,0,0,0,1,1
5460,5460,X-Men,1992,7+,8.4,85%,0,0,0,1,1
5461,5461,One Strange Rock,2018,all,8.8,83%,0,0,0,1,1
5462,5462,Spider-Man,1994,all,8.3,,0,0,0,1,1
5463,5463,High School Musical: The Musical: The Series,2019,7+,7.3,79%,0,0,0,1,1
5464,5464,Boy Meets World,1993,all,8.1,,0,0,0,1,1
5465,5465,The Imagineering Story,2019,7+,9.1,100%,0,0,0,1,1
5466,5466,Phineas and Ferb,2007,all,7.9,,0,0,0,1,1
5467,5467,DuckTales,1987,7+,8.1,,0,0,0,1,1
5468,5468,Wizards of Waverly Place,2007,all,6.8,,0,0,0,1,1
5469,5469,Lizzie McGuire,2001,all,6.6,100%,0,0,0,1,1
5470,5470,Kim Possible,2002,7+,7.2,,0,0,0,1,1
5471,5471,Recess,1997,7+,7.8,,0,0,0,1,1
5472,5472,Wolverine and the X-Men,2008,7+,8.0,67%,0,0,0,1,1
5473,5473,That's So Raven,2003,all,6.5,,0,0,0,1,1
