,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
13,13,Attack on Titan,2013,16+,8.8,94%,1,1,0,0,1
15,15,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,1,1,0,0,1
16,16,Community,2009,7+,8.5,88%,1,1,0,0,1
18,18,Parks and Recreation,2009,16+,8.6,93%,1,1,1,0,1
22,22,Twin Peaks,1990,18+,8.8,89%,1,1,0,0,1
23,23,One-Punch Man,2015,16+,8.8,100%,1,1,0,0,1
27,27,The Good Place,2016,16+,8.2,97%,1,1,0,0,1
35,35,Grey's Anatomy,2005,16+,7.6,83%,1,1,0,0,1
37,37,Arrested Development,2003,16+,8.7,75%,1,1,0,0,1
42,42,How to Get Away with Murder,2014,16+,8.1,88%,1,1,0,0,1
54,54,Family Guy,1999,18+,8.1,71%,1,1,0,0,1
55,55,Pretty Little Liars,2010,16+,7.4,81%,1,1,0,0,1
59,59,The Twilight Zone,1959,7+,9.0,82%,1,1,0,0,1
63,63,Star Trek: The Next Generation,1987,7+,8.6,89%,1,1,1,0,1
71,71,The Good Wife,2009,16+,8.3,94%,1,1,1,0,1
85,85,Death Note,2006,18+,9.0,,1,1,0,0,1
88,88,Burn Notice,2007,7+,7.9,88%,1,1,1,0,1
93,93,American Horror Story,2011,18+,8.0,,1,1,1,0,1
99,99,Star Trek,1966,7+,8.3,80%,1,1,1,0,1
103,103,Good Girls,2018,16+,7.9,87%,1,1,0,0,1
123,123,Mushi-Shi,2005,16+,8.5,100%,1,1,1,0,1
128,128,Hunter x Hunter,2011,16+,8.9,,1,1,0,0,1
132,132,Naruto,2002,7+,8.3,,1,1,0,0,1
140,140,Star Trek: Deep Space Nine,1993,7+,7.9,90%,1,1,1,0,1
151,151,Law & Order: Special Victims Unit,1999,16+,8.0,,1,1,1,0,1
158,158,Mystery Science Theater 3000,1988,7+,8.5,80%,1,1,0,0,1
179,179,Star Trek: Voyager,1995,7+,7.8,77%,1,1,1,0,1
184,184,Bleach,2004,18+,8.1,,1,1,0,0,1
193,193,Haikyu!!,2014,16+,8.7,,1,1,0,0,1
202,202,Soul Eater,2008,16+,7.8,100%,1,1,0,0,1
205,205,Merlin,2008,7+,7.9,,1,1,1,0,1
211,211,Absolutely Fabulous,1992,16+,8.1,96%,1,1,0,0,1
213,213,Malcolm in the Middle,2000,7+,8.0,,1,1,0,0,1
221,221,Case Closed,1996,16+,8.4,,1,1,0,0,1
229,229,Fairy Tail,2009,16+,8.0,,1,1,0,0,1
240,240,Pokémon,1997,7+,7.5,,1,1,1,0,1
241,241,Cheers,1982,7+,7.8,,1,1,1,0,1
243,243,Star Trek: Enterprise,2001,7+,7.5,50%,1,1,1,0,1
251,251,JoJo's Bizarre Adventure,2012,18+,8.4,,1,1,0,0,1
267,267,ERASED,2016,16+,8.5,,1,1,0,0,1
279,279,Rurouni Kenshin,1996,16+,8.5,,1,1,1,0,1
281,281,InuYasha,2000,16+,7.9,,1,1,0,0,1
286,286,Descendants of the Sun,2016,16+,8.4,,1,1,1,0,1
289,289,Your Lie in April,2014,7+,8.6,,1,1,0,0,1
290,290,Ancient Aliens,2010,7+,7.3,,1,1,1,0,1
291,291,Sword Art Online,2012,16+,7.6,,1,1,0,0,1
305,305,Parasyte -the maxim-,2014,18+,8.4,,1,1,0,0,1
319,319,Private Practice,2007,16+,6.6,51%,1,1,0,0,1
321,321,Akame ga Kill!,2014,18+,7.9,,1,1,0,0,1
337,337,Rake,2010,16+,8.6,100%,1,1,1,0,1
346,346,H2O: Just Add Water,2006,all,7.2,,1,1,1,0,1
350,350,Black Butler,2008,16+,7.8,,1,1,0,0,1
367,367,Animaniacs,1993,all,7.9,,1,1,0,0,1
384,384,CSI: Miami,2002,16+,6.4,,1,1,0,0,1
410,410,My Little Pony: Friendship Is Magic,2010,7+,7.6,,1,1,0,0,1
416,416,Ouran High School Host Club,2006,16+,8.2,,1,1,0,0,1
418,418,The Curse of Oak Island,2014,7+,7.0,,1,1,0,0,1
433,433,Clannad,2007,7+,7.9,,1,1,0,0,1
446,446,We Bare Bears,2015,7+,7.9,,1,1,0,0,1
455,455,Vampire Knight,2008,16+,7.5,,1,1,0,0,1
458,458,Taken,2017,16+,6.6,32%,1,1,0,0,1
460,460,Forensic Files,1996,16+,8.8,,1,1,1,0,1
466,466,Magi,2012,16+,7.9,,1,1,0,0,1
502,502,Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,16+,7.4,,1,1,0,0,1
516,516,America's Funniest Home Videos,1989,7+,6.2,,1,1,0,1,1
521,521,Durarara!!,2010,16+,7.9,,1,1,0,0,1
523,523,Puella Magi Madoka Magica,2011,16+,8.3,,1,1,0,0,1
525,525,Maid Sama!,2010,16+,8.0,,1,1,0,0,1
528,528,Boys Over Flowers,2009,16+,8.0,,1,1,0,0,1
535,535,Fate/stay night [Unlimited Blade Works],2014,18+,8.0,,1,1,0,0,1
562,562,Fate/stay night,2006,18+,7.4,,1,1,0,0,1
570,570,Yu-Gi-Oh!,1998,,7.9,,1,1,1,0,1
571,571,Blue Exorcist,2011,16+,7.5,,1,1,0,0,1
594,594,K-ON!,2009,16+,7.6,,1,1,0,0,1
610,610,"Drugs, Inc.",2010,16+,7.8,,1,1,0,0,1
614,614,"Love, Chunibyo & Other Delusions",2012,16+,7.4,,1,1,0,0,1
638,638,The Cleveland Show,2009,16+,5.5,,1,1,0,0,1
639,639,Monthly Girls' Nozaki-kun,2014,7+,7.7,,1,1,0,0,1
646,646,The Code,2014,,7.4,,1,1,0,0,1
673,673,Offspring,2010,16+,8.2,,1,1,0,0,1
685,685,Billy on the Street,2011,16+,7.7,,1,1,0,0,1
686,686,Cold Case Files,1999,18+,8.0,,1,1,0,0,1
700,700,Sonic x,2003,16+,6.1,,1,1,1,0,1
703,703,Girls und Panzer,2012,16+,7.5,,1,1,0,0,1
729,729,Hoarders,2009,7+,6.4,,1,1,0,0,1
743,743,Champions,2018,7+,6.0,63%,1,1,0,0,1
788,788,Sword Art Online Alternative: Gun Gale Online,2018,16+,6.8,,1,1,0,0,1
796,796,Hellevator,2015,18+,6.0,,1,1,0,0,1
832,832,"Acero, Woman of Steel",2014,16+,7.2,,1,1,0,0,1
850,850,Ultraviolet,2017,18+,7.0,,1,1,0,0,1
876,876,Hangar 1: The UFO Files,2015,7+,7.4,,1,1,1,0,1
878,878,Marlon,2017,7+,7.0,,1,1,0,0,1
907,907,The Dick Van Dyke Show,1961,all,6.8,,1,1,0,0,1
923,923,Pocoyo,2005,all,7.5,,1,1,1,0,1
926,926,Skin Wars,2014,16+,7.1,,1,1,0,0,1
927,927,Dueños del Paraíso,2015,16+,7.1,,1,1,0,0,1
934,934,Great British Menu,2006,,7.3,,1,1,0,0,1
959,959,Nazi Megastructures,2013,all,8.0,,1,1,0,0,1
966,966,El Clon,2000,,6.8,,1,1,0,0,1
996,996,Yu-Gi-Oh! Arc-V,2014,7+,6.2,,1,1,1,0,1
999,999,America's Book of Secrets,2012,7+,7.0,,1,1,1,0,1
1023,1023,Fated to Love You,2008,7+,7.4,,1,1,0,0,1
1025,1025,The Bachelor,2002,16+,3.2,,1,1,0,0,1
1039,1039,Rabbids Invasion,2013,7+,5.0,,1,1,0,0,1
1124,1124,Chuggington,2008,all,5.9,,1,1,0,0,1
1127,1127,Steampunk'd,2015,,5.8,,1,1,0,0,1
