,Unnamed: 0,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Genres,Country,Language,Runtime
67,67,68,Blackfish,2013,13+,8.1,98%,1,1,0,0,0,Gabriela Cowperthwaite,"Documentary,News",United States,"English,Spanish",83.0
97,97,98,Jiro Dreams of Sushi,2011,7+,7.9,99%,1,1,0,0,0,David Gelb,Documentary,United States,Japanese,81.0
146,146,147,The Patriot,2000,18+,7.2,61%,1,1,0,0,0,Roland Emmerich,"Action,Drama,History,War","United States,Germany","English,French",165.0
148,148,149,The Square,2013,,8.1,100%,1,1,1,0,0,Ruben Östlund,"Comedy,Drama","Sweden,Germany,France,Denmark,United States","Swedish,English,Danish",151.0
214,214,215,Hitch,2005,13+,6.6,68%,1,1,0,0,0,Andy Tennant,"Comedy,Romance",United States,English,118.0
285,285,286,Hey Arnold! The Jungle Movie,2017,7+,7.6,100%,1,1,0,0,0,"Raymie Muzquiz,Stu Livingston","Animation,Adventure,Comedy,Family,Fantasy","United States,South Korea,Japan","English,Korean",81.0
340,340,341,The Interview,2014,18+,6.5,52%,1,1,1,0,0,"Evan Goldberg,Seth Rogen","Action,Adventure,Comedy",United States,"English,Korean",112.0
497,497,498,Blame!,2017,13+,6.7,82%,1,1,1,0,0,Hiroyuki Seshita,"Animation,Action,Drama,Sci-Fi,Thriller",Japan,Japanese,106.0
610,610,611,Evolution,2001,13+,6.1,43%,1,1,1,0,0,Ivan Reitman,"Comedy,Sci-Fi",United States,English,101.0
894,894,895,The Oath,2016,,6.4,75%,1,1,0,0,0,,"Crime,Drama",United States,English,60.0
897,897,898,Little Monsters,1989,7+,6.1,50%,1,1,0,0,0,Abe Forsythe,"Comedy,Horror","United Kingdom,Australia,United States",English,93.0
939,939,940,Lost in London,2017,,6.2,75%,1,1,0,0,0,Woody Harrelson,"Comedy,Drama","United States,United Kingdom",English,103.0
1035,1035,1036,Gemini,2018,18+,5.4,71%,1,1,0,0,0,David Cronenberg,"Drama,Horror,Thriller",Canada,English,116.0
1133,1133,1134,No Game No Life: Zero,2017,13+,7.5,,1,1,1,0,0,Atsuko Ishizuka,"Animation,Adventure,Comedy,Drama,Fantasy,Romance",Japan,Japanese,110.0
1301,1301,1302,Major League II,1994,7+,5.6,5%,1,1,0,0,0,David S. Ward,"Comedy,Sport",United States,English,105.0
1325,1325,1326,A Second Chance,2015,,7.1,,1,1,0,0,0,Clay Glen,"Drama,Family,Sport",Australia,English,90.0
1390,1390,1391,The Cat in the Hat,2003,7+,3.9,9%,1,1,0,0,0,Bo Welch,"Adventure,Comedy,Family,Fantasy",United States,English,82.0
