,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
0,0,Breaking Bad,2008,18+,9.5,96%,1,0,0,0,1
1,1,Stranger Things,2016,16+,8.8,93%,1,0,0,0,1
2,2,Money Heist,2017,18+,8.4,91%,1,0,0,0,1
3,3,Sherlock,2010,16+,9.1,78%,1,0,0,0,1
4,4,Better Call Saul,2015,18+,8.7,97%,1,0,0,0,1
5,5,The Office,2005,16+,8.9,81%,1,0,0,0,1
6,6,Black Mirror,2011,18+,8.8,83%,1,0,0,0,1
7,7,Supernatural,2005,16+,8.4,93%,1,0,0,0,1
8,8,Peaky Blinders,2013,18+,8.8,92%,1,0,0,0,1
9,9,Avatar: The Last Airbender,2005,7+,9.2,100%,1,0,0,0,1
10,10,The Walking Dead,2010,18+,8.2,81%,1,0,0,0,1
11,11,Dark,2017,16+,8.7,94%,1,0,0,0,1
12,12,Ozark,2017,18+,8.4,81%,1,0,0,0,1
13,13,Attack on Titan,2013,16+,8.8,94%,1,1,0,0,1
14,14,Narcos,2015,18+,8.8,89%,1,0,0,0,1
15,15,Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,1,1,0,0,1
16,16,Community,2009,7+,8.5,88%,1,1,0,0,1
17,17,Mindhunter,2017,18+,8.6,96%,1,0,0,0,1
18,18,Parks and Recreation,2009,16+,8.6,93%,1,1,1,0,1
19,19,Dexter,2006,18+,8.6,72%,1,0,0,0,1
20,20,Marvel's Daredevil,2015,18+,8.6,92%,1,0,0,0,1
21,21,The Witcher,2019,18+,8.3,67%,1,0,0,0,1
22,22,Twin Peaks,1990,18+,8.8,89%,1,1,0,0,1
23,23,One-Punch Man,2015,16+,8.8,100%,1,1,0,0,1
24,24,Outlander,2014,18+,8.4,91%,1,0,0,0,1
25,25,House of Cards,2013,18+,8.7,78%,1,0,0,0,1
26,26,Shameless,2011,18+,8.6,85%,1,0,0,0,1
27,27,The Good Place,2016,16+,8.2,97%,1,1,0,0,1
28,28,The Haunting,2018,18+,8.7,93%,1,0,0,0,1
29,29,The Blacklist,2013,16+,8.0,91%,1,0,0,0,1
30,30,The Flash,2014,7+,7.7,89%,1,0,0,0,1
31,31,The Last Kingdom,2015,18+,8.4,91%,1,0,0,0,1
32,32,Mad Men,2007,16+,8.6,94%,1,0,0,0,1
33,33,Lucifer,2016,16+,8.2,87%,1,0,0,0,1
34,34,Orange Is the New Black,2013,18+,8.1,90%,1,0,0,0,1
35,35,Grey's Anatomy,2005,16+,7.6,83%,1,1,0,0,1
36,36,The End of the F***ing World,2017,18+,8.1,93%,1,0,0,0,1
37,37,Arrested Development,2003,16+,8.7,75%,1,1,0,0,1
38,38,The Vampire Diaries,2009,7+,7.7,85%,1,0,0,0,1
39,39,The Crown,2016,18+,8.7,89%,1,0,0,0,1
40,40,The 100,2014,16+,7.7,92%,1,0,0,0,1
41,41,When They See Us,2019,18+,8.9,96%,1,0,0,0,1
42,42,How to Get Away with Murder,2014,16+,8.1,88%,1,1,0,0,1
43,43,After Life,2019,18+,8.5,70%,1,0,0,0,1
44,44,Elite,2018,18+,7.6,97%,1,0,0,0,1
45,45,BoJack Horseman,2014,18+,8.7,93%,1,0,0,0,1
46,46,Never Have I Ever,2020,16+,8.0,97%,1,0,0,0,1
47,47,Penny Dreadful,2014,18+,8.2,91%,1,0,0,0,1
48,48,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%,1,0,0,0,1
49,49,Dead to Me,2019,18+,8.1,91%,1,0,0,0,1
50,50,Unorthodox,2020,18+,8.1,94%,1,0,0,0,1
51,51,Sense8,2015,18+,8.3,86%,1,0,0,0,1
52,52,Sacred Games,2018,18+,8.7,92%,1,0,0,0,1
53,53,American Crime Story,2016,18+,8.4,93%,1,0,0,0,1
54,54,Family Guy,1999,18+,8.1,71%,1,1,0,0,1
55,55,Pretty Little Liars,2010,16+,7.4,81%,1,1,0,0,1
56,56,Unbelievable,2019,18+,8.4,97%,1,0,0,0,1
57,57,Arrow,2012,16+,7.6,85%,1,0,0,0,1
58,58,The IT Crowd,2006,16+,8.5,87%,1,0,0,0,1
59,59,The Twilight Zone,1959,7+,9.0,82%,1,1,0,0,1
60,60,YOU,2018,18+,7.8,91%,1,0,0,0,1
61,61,Sex Education,2019,16+,8.3,94%,1,0,0,0,1
62,62,"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%,1,0,0,0,1
63,63,Star Trek: The Next Generation,1987,7+,8.6,89%,1,1,1,0,1
64,64,Broadchurch,2013,18+,8.4,92%,1,0,0,0,1
65,65,Kingdom,2019,18+,8.4,96%,1,0,0,0,1
66,66,Altered Carbon,2018,18+,8.1,64%,1,0,0,0,1
67,67,The Sinner,2017,16+,8.0,95%,1,0,0,0,1
68,68,"Love, Death & Robots",2019,18+,8.5,78%,1,0,0,0,1
69,69,Marvel's Jessica Jones,2015,18+,8.0,83%,1,0,0,0,1
70,70,New Girl,2011,16+,7.7,94%,1,0,0,0,1
71,71,The Good Wife,2009,16+,8.3,94%,1,1,1,0,1
72,72,The Umbrella Academy,2019,16+,7.9,77%,1,0,0,0,1
73,73,Marvel's The Punisher,2017,18+,8.5,63%,1,0,0,0,1
74,74,Ash vs Evil Dead,2015,18+,8.4,99%,1,0,0,0,1
75,75,Master of None,2015,18+,8.3,100%,1,0,0,0,1
76,76,Bodyguard,2018,18+,8.1,93%,1,0,0,0,1
77,77,Schitt's Creek,2015,16+,8.4,50%,1,0,1,0,1
78,78,Narcos: Mexico,2018,18+,8.4,88%,1,0,0,0,1
79,79,The West Wing,1999,16+,8.8,75%,1,0,0,0,1
80,80,Bates Motel,2013,18+,8.2,93%,1,0,0,0,1
81,81,Atypical,2017,18+,8.3,87%,1,0,0,0,1
82,82,Once Upon a Time,2011,7+,7.7,80%,1,0,0,0,1
83,83,Gomorrah,2014,18+,8.7,94%,1,0,0,0,1
84,84,Making a Murderer,2015,16+,8.6,84%,1,0,0,0,1
85,85,Death Note,2006,18+,9.0,,1,1,0,0,1
86,86,Castlevania,2017,18+,8.2,93%,1,0,0,0,1
87,87,Riverdale,2017,16+,7.0,86%,1,0,0,0,1
88,88,Burn Notice,2007,7+,7.9,88%,1,1,1,0,1
89,89,Fauda,2015,16+,8.3,100%,1,0,0,0,1
90,90,Russian Doll,2019,18+,7.9,96%,1,0,0,0,1
91,91,Our Planet,2019,7+,9.3,93%,1,0,0,0,1
92,92,Big Mouth,2017,18+,8.0,100%,1,0,0,0,1
93,93,American Horror Story,2011,18+,8.0,,1,1,1,0,1
94,94,Gotham,2014,16+,7.8,77%,1,0,0,0,1
95,95,I Am Not Okay with This,2020,18+,7.6,85%,1,0,0,0,1
96,96,Criminal Minds,2005,16+,8.1,,1,0,0,0,1
97,97,The Vietnam War,2017,18+,9.1,98%,1,0,0,0,1
98,98,Waco,2018,18+,7.9,68%,1,0,0,0,1
99,99,Star Trek,1966,7+,8.3,80%,1,1,1,0,1
100,100,The OA,2016,16+,7.9,84%,1,0,0,0,1
101,101,Outer Banks,2020,18+,7.6,72%,1,0,0,0,1
102,102,The Midnight Gospel,2020,18+,8.4,90%,1,0,0,0,1
103,103,Good Girls,2018,16+,7.9,87%,1,1,0,0,1
104,104,Chilling Adventures of Sabrina,2018,16+,7.6,84%,1,0,0,0,1
105,105,Doctor Foster,2015,16+,7.7,85%,1,0,0,0,1
106,106,Gilmore Girls,2000,16+,8.1,85%,1,0,0,0,1
107,107,iZombie,2015,16+,7.9,91%,1,0,0,0,1
108,108,Anne with an E,2017,7+,8.6,62%,1,0,0,0,1
109,109,A Series of Unfortunate Events,2017,7+,7.8,96%,1,0,0,0,1
110,110,Neon Genesis Evangelion,1995,16+,8.5,100%,1,0,0,0,1
111,111,Into the Badlands,2015,16+,8.0,83%,1,0,0,0,1
112,112,Monty Python's Flying Circus,1969,16+,8.8,100%,1,0,0,0,1
113,113,Jane the Virgin,2014,7+,7.8,100%,1,0,0,0,1
114,114,Halt and Catch Fire,2014,16+,8.4,90%,1,0,0,0,1
115,115,Grace and Frankie,2015,7+,8.3,89%,1,0,0,0,1
116,116,NCIS,2003,16+,7.8,40%,1,0,0,0,1
117,117,Weeds,2005,18+,7.9,70%,1,0,0,0,1
118,118,GLOW,2017,18+,8.0,93%,1,0,0,0,1
119,119,Person of Interest,2011,16+,8.4,,1,0,0,0,1
120,120,13 Reasons Why,2017,18+,7.8,39%,1,0,0,0,1
121,121,Godless,2017,16+,8.3,85%,1,0,0,0,1
122,122,Locked Up,2015,16+,8.3,100%,1,0,0,0,1
123,123,Mushi-Shi,2005,16+,8.5,100%,1,1,1,0,1
124,124,Gossip Girl,2008,16+,7.4,84%,1,0,0,0,1
125,125,Unbreakable Kimmy Schmidt,2015,16+,7.6,96%,1,0,0,0,1
126,126,Lost in Space,2018,7+,7.3,75%,1,0,0,0,1
127,127,Scandal,2012,16+,7.7,93%,1,0,0,0,1
128,128,Hunter x Hunter,2011,16+,8.9,,1,1,0,0,1
129,129,One Day at a Time,2017,7+,8.2,99%,1,0,0,0,1
130,130,DC's Legends of Tomorrow,2016,16+,6.8,87%,1,0,0,0,1
131,131,Manhunt,2017,16+,8.1,93%,1,0,0,0,1
132,132,Naruto,2002,7+,8.3,,1,1,0,0,1
133,133,Charmed,1998,16+,7.1,75%,1,0,0,0,1
134,134,The Dragon Prince,2018,7+,8.4,100%,1,0,0,0,1
135,135,Locke & Key,2020,16+,7.4,67%,1,0,0,0,1
136,136,Alias Grace,2017,18+,7.8,99%,1,0,0,0,1
137,137,American Vandal,2017,16+,8.2,97%,1,0,0,0,1
138,138,Santa Clarita Diet,2017,18+,7.8,89%,1,0,0,0,1
139,139,Maniac,2018,16+,7.8,85%,1,0,0,0,1
140,140,Star Trek: Deep Space Nine,1993,7+,7.9,90%,1,1,1,0,1
