,Unnamed: 0,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type
18,18,Parks and Recreation,2009,16+,8.6,93%,1,1,1,0,1
63,63,Star Trek: The Next Generation,1987,7+,8.6,89%,1,1,1,0,1
71,71,The Good Wife,2009,16+,8.3,94%,1,1,1,0,1
77,77,Schitt's Creek,2015,16+,8.4,50%,1,0,1,0,1
88,88,Burn Notice,2007,7+,7.9,88%,1,1,1,0,1
93,93,American Horror Story,2011,18+,8.0,,1,1,1,0,1
99,99,Star Trek,1966,7+,8.3,80%,1,1,1,0,1
123,123,Mushi-Shi,2005,16+,8.5,100%,1,1,1,0,1
140,140,Star Trek: Deep Space Nine,1993,7+,7.9,90%,1,1,1,0,1
151,151,Law & Order: Special Victims Unit,1999,16+,8.0,,1,1,1,0,1
162,162,Extras,2005,16+,8.3,89%,1,0,1,0,1
179,179,Star Trek: Voyager,1995,7+,7.8,77%,1,1,1,0,1
205,205,Merlin,2008,7+,7.9,,1,1,1,0,1
223,223,Queer as Folk,1999,18+,8.2,100%,1,0,1,0,1
224,224,Heartland,2007,7+,8.4,45%,1,0,1,0,1
240,240,Pokémon,1997,7+,7.5,,1,1,1,0,1
241,241,Cheers,1982,7+,7.8,,1,1,1,0,1
243,243,Star Trek: Enterprise,2001,7+,7.5,50%,1,1,1,0,1
279,279,Rurouni Kenshin,1996,16+,8.5,,1,1,1,0,1
286,286,Descendants of the Sun,2016,16+,8.4,,1,1,1,0,1
290,290,Ancient Aliens,2010,7+,7.3,,1,1,1,0,1
294,294,Beauty and the Beast,2012,16+,7.0,51%,1,0,1,0,1
335,335,Saint Seiya,1986,7+,8.4,,1,0,1,0,1
337,337,Rake,2010,16+,8.6,100%,1,1,1,0,1
346,346,H2O: Just Add Water,2006,all,7.2,,1,1,1,0,1
360,360,The Andy Griffith Show,1960,all,8.3,,1,0,1,0,1
376,376,NOVA,1974,7+,8.7,,1,0,1,0,1
388,388,LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8,,1,0,1,0,1
460,460,Forensic Files,1996,16+,8.8,,1,1,1,0,1
526,526,Robotech,1985,7+,8.5,,1,0,1,0,1
534,534,Power Rangers,1993,7+,6.4,73%,1,0,1,0,1
570,570,Yu-Gi-Oh!,1998,,7.9,,1,1,1,0,1
582,582,Republic of Doyle,2010,16+,7.2,,1,0,1,0,1
670,670,Intelligence,2006,,8.2,,1,0,1,0,1
681,681,Deep Water,2016,,6.9,,1,0,1,0,1
700,700,Sonic x,2003,16+,6.1,,1,1,1,0,1
758,758,Highway to Heaven,1984,7+,6.7,,1,0,1,0,1
876,876,Hangar 1: The UFO Files,2015,7+,7.4,,1,1,1,0,1
893,893,The Legend of Bruce Lee,2008,,7.0,,1,0,1,0,1
915,915,Super Wings!,2015,all,6.2,,1,0,1,0,1
923,923,Pocoyo,2005,all,7.5,,1,1,1,0,1
996,996,Yu-Gi-Oh! Arc-V,2014,7+,6.2,,1,1,1,0,1
999,999,America's Book of Secrets,2012,7+,7.0,,1,1,1,0,1
1033,1033,Dharmakshetra,2014,,7.8,,1,0,1,0,1
1069,1069,The Garfield Show,2009,all,5.3,,1,0,1,0,1
1085,1085,The Kindness Diaries,2017,,8.1,,1,0,1,0,1
1141,1141,Granblue Fantasy: The Animation,2017,,6.4,,1,0,1,0,1
1143,1143,Geronimo Stilton,2009,all,6.7,,1,0,1,0,1
1148,1148,Raja Rasoi Aur Anya Kahaniyan,2015,,8.8,,1,0,1,0,1
1180,1180,The Cat in the Hat Knows a Lot About That!,2010,all,6.5,,1,0,1,0,1
